Forecast_Week,Store_ID,SKU_ID,unique_id,Geography,Region,Cluster,Ownership,Category,Sub_Category,Segment,Attribute_Claim,Brand,List_Price_USD,Unit_Cost_USD,LightGBM_Forecast,Forecast_Lower,Forecast_Upper,Final_Forecast,Selected_Model,Total_Sales,Total_Sales_Lower,Total_Sales_Upper,Total_Margin,Total_Margin_Lower,Total_Margin_Upper
2026-23,ST01,SKU0001,ST01_SKU0001,West,West,Premium Urban,Own,Hair Care,Shampoo,Economy,Color Protection,EarthTress,11.99,8.15,52.07330794398956,12.726219697287327,90.40750047028811,52.07330794398956,LightGBM,624.36,152.59,1083.99,199.96,48.87,347.16
2026-24,ST01,SKU0001,ST01_SKU0001,West,West,Premium Urban,Own,Hair Care,Shampoo,Economy,Color Protection,EarthTress,11.99,8.15,50.485365386848805,11.595556389781692,88.15907585391639,50.485365386848805,LightGBM,605.32,139.03,1057.03,193.86,44.53,338.53
2026-25,ST01,SKU0001,ST01_SKU0001,West,West,Premium Urban,Own,Hair Care,Shampoo,Economy,Color Protection,EarthTress,11.99,8.15,49.47760014454702,11.225011024228277,92.42516746354713,49.47760014454702,LightGBM,593.24,134.59,1108.18,189.99,43.1,354.91
2026-26,ST01,SKU0001,ST01_SKU0001,West,West,Premium Urban,Own,Hair Care,Shampoo,Economy,Color Protection,EarthTress,11.99,8.15,52.10208374370528,13.71238080194322,93.52586285088341,52.10208374370528,LightGBM,624.7,164.41,1121.38,200.07,52.66,359.14
2026-27,ST01,SKU0001,ST01_SKU0001,West,West,Premium Urban,Own,Hair Care,Shampoo,Economy,Color Protection,EarthTress,11.99,8.15,52.77265072691003,21.47780312181498,95.29325445470734,52.77265072691003,LightGBM,632.74,257.52,1142.57,202.65,82.47,365.93
2026-28,ST01,SKU0001,ST01_SKU0001,West,West,Premium Urban,Own,Hair Care,Shampoo,Economy,Color Protection,EarthTress,11.99,8.15,58.3252421966812,21.77670926220351,102.21677574359002,58.3252421966812,LightGBM,699.32,261.1,1225.58,223.97,83.62,392.51
2026-23,ST01,SKU0002,ST01_SKU0002,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Sulphate Free,EarthTress,37.29,23.12,409.2859414283963,253.4228204207678,576.0449814400195,409.2859414283963,LightGBM,15262.27,9450.14,21480.72,5799.58,3591.0,8162.56
2026-24,ST01,SKU0002,ST01_SKU0002,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Sulphate Free,EarthTress,37.29,23.12,396.52822537071194,257.16579076155597,532.2347147490696,396.52822537071194,LightGBM,14786.54,9589.71,19847.03,5618.8,3644.04,7541.77
2026-25,ST01,SKU0002,ST01_SKU0002,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Sulphate Free,EarthTress,37.29,23.12,402.0894593859284,254.5560975652637,608.9465927857347,402.0894593859284,LightGBM,14993.92,9492.4,22707.62,5697.61,3607.06,8628.77
2026-26,ST01,SKU0002,ST01_SKU0002,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Sulphate Free,EarthTress,37.29,23.12,404.0895505772316,261.30237077082165,546.0163673233264,404.0895505772316,LightGBM,15068.5,9743.97,20360.95,5725.95,3702.65,7737.05
