antecedent_sku,consequent_sku,support_antecedent,support_consequent,support_pair,confidence,lift,co_occurrence_count
SKU0001,SKU0059,0.009,0.006481,0.000129,0.014328,2.210837,39
SKU0001,SKU0026,0.009,0.033742,0.000493,0.054739,1.622264,149
SKU0001,SKU0032,0.009,0.035862,0.000506,0.056209,1.567365,153
SKU0001,SKU0052,0.009,0.012614,0.000142,0.015797,1.25234,43
SKU0001,SKU0022,0.009,0.013494,0.000142,0.015797,1.170712,43
SKU0001,SKU0036,0.009,0.008524,8.9e-05,0.009919,1.163668,27
SKU0001,SKU0048,0.009,0.010528,0.000106,0.011756,1.116671,32
SKU0001,SKU0037,0.009,0.008131,7.9e-05,0.008817,1.084429,24
SKU0001,SKU0019,0.009,0.012548,0.000119,0.013226,1.053996,36
SKU0001,SKU0040,0.009,0.054699,0.000334,0.037105,0.678352,101
SKU0001,SKU0044,0.009,0.054682,0.000308,0.034166,0.62481,93
SKU0001,SKU0024,0.009,0.054785,0.000281,0.031227,0.569995,85
SKU0001,SKU0045,0.009,0.016324,8.3e-05,0.009184,0.562633,25
SKU0001,SKU0009,0.009,0.023932,0.000116,0.012858,0.537276,35
SKU0001,SKU0039,0.009,0.020533,9.6e-05,0.010654,0.518865,29
SKU0001,SKU0058,0.009,0.02294,0.000106,0.011756,0.512465,32
SKU0001,SKU0042,0.009,0.016893,7.6e-05,0.00845,0.500196,23
SKU0001,SKU0060,0.009,0.016251,6.9e-05,0.007715,0.474727,21
SKU0001,SKU0031,0.009,0.019723,7.9e-05,0.008817,0.447043,24
SKU0001,SKU0049,0.009,0.04999,0.000192,0.021308,0.426239,58
SKU0001,SKU0021,0.009,0.020484,7.6e-05,0.00845,0.41251,23
SKU0001,SKU0054,0.009,0.021899,7.9e-05,0.008817,0.402629,24
SKU0001,SKU0046,0.009,0.019363,6.3e-05,0.00698,0.360496,19
SKU0001,SKU0050,0.009,0.022464,6.9e-05,0.007715,0.343433,21
SKU0001,SKU0025,0.009,0.021773,6e-05,0.006613,0.303714,18
SKU0001,SKU0033,0.009,0.055443,0.000145,0.016165,0.291554,44
SKU0001,SKU0012,0.009,0.005142,1.3e-05,0.00147,0.28581,4
SKU0001,SKU0018,0.009,0.005707,1.3e-05,0.00147,0.257494,4
SKU0001,SKU0056,0.009,0.020533,4.3e-05,0.004776,0.232595,13
SKU0001,SKU0051,0.009,0.025328,5.3e-05,0.005878,0.232081,16
SKU0001,SKU0013,0.009,0.05542,9.6e-05,0.010654,0.192241,29
SKU0001,SKU0028,0.009,0.020345,2.6e-05,0.002939,0.144461,8
SKU0001,SKU0015,0.009,0.050377,6e-05,0.006613,0.131265,18
SKU0001,SKU0029,0.009,0.025202,3e-05,0.003306,0.131196,9
SKU0001,SKU0041,0.009,0.049749,5.6e-05,0.006245,0.125538,17
SKU0001,SKU0057,0.009,0.027718,3e-05,0.003306,0.119286,9
SKU0001,SKU0002,0.009,0.049901,5e-05,0.005511,0.110431,15
SKU0001,SKU0027,0.009,0.049736,4.6e-05,0.005143,0.103412,14
SKU0001,SKU0038,0.009,0.049878,4.6e-05,0.005143,0.103117,14
SKU0001,SKU0006,0.009,0.049908,4.6e-05,0.005143,0.103056,14
SKU0001,SKU0007,0.009,0.014555,1.3e-05,0.00147,0.100962,4
SKU0001,SKU0010,0.009,0.049938,3.3e-05,0.003674,0.073567,10
SKU0001,SKU0016,0.009,0.013484,3e-06,0.000367,0.027246,1
SKU0001,SKU0017,0.009,0.013924,3e-06,0.000367,0.026385,1
SKU0002,SKU0010,0.049901,0.049938,0.002632,0.052743,1.056184,796
SKU0002,SKU0038,0.049901,0.049878,0.002596,0.052014,1.042831,785
SKU0002,SKU0015,0.049901,0.050377,0.002619,0.052478,1.041703,792
SKU0002,SKU0041,0.049901,0.049749,0.002539,0.050888,1.022892,768
SKU0002,SKU0006,0.049901,0.049908,0.002516,0.050424,1.010345,761
SKU0002,SKU0027,0.049901,0.049736,0.002447,0.049033,0.985861,740
SKU0002,SKU0049,0.049901,0.04999,0.001924,0.038563,0.771417,582
SKU0002,SKU0042,0.049901,0.016893,0.000605,0.012126,0.717802,183
SKU0002,SKU0016,0.049901,0.013484,0.000456,0.009144,0.678143,138
SKU0002,SKU0033,0.049901,0.055443,0.001782,0.035714,0.644165,539
SKU0002,SKU0031,0.049901,0.019723,0.000632,0.012656,0.641671,191
SKU0002,SKU0013,0.049901,0.05542,0.001673,0.033528,0.604979,506
SKU0002,SKU0017,0.049901,0.013924,0.00042,0.008415,0.604377,127
SKU0002,SKU0056,0.049901,0.020533,0.000572,0.011463,0.55827,173
SKU0002,SKU0024,0.049901,0.054785,0.001508,0.030215,0.551516,456
SKU0002,SKU0028,0.049901,0.020345,0.000552,0.011065,0.5439,167
SKU0002,SKU0044,0.049901,0.054682,0.001478,0.029618,0.541644,447
SKU0002,SKU0054,0.049901,0.021899,0.000582,0.011662,0.532534,176
SKU0002,SKU0040,0.049901,0.054699,0.001445,0.028956,0.529367,437
SKU0002,SKU0007,0.049901,0.014555,0.000374,0.007487,0.51442,113
SKU0002,SKU0029,0.049901,0.025202,0.000592,0.011861,0.470624,179
SKU0002,SKU0051,0.049901,0.025328,0.000565,0.011331,0.44736,171
SKU0002,SKU0018,0.049901,0.005707,0.000116,0.002319,0.406365,35
SKU0002,SKU0025,0.049901,0.021773,0.000436,0.008746,0.401705,132
SKU0002,SKU0012,0.049901,0.005142,9.6e-05,0.001922,0.373729,29
SKU0002,SKU0057,0.049901,0.027718,0.000503,0.010072,0.363357,152
SKU0002,SKU0050,0.049901,0.022464,0.0004,0.008017,0.356902,121
SKU0002,SKU0009,0.049901,0.023932,0.000384,0.007686,0.321166,116
SKU0002,SKU0058,0.049901,0.02294,0.00036,0.007222,0.314834,109
SKU0002,SKU0060,0.049901,0.016251,0.000188,0.003777,0.232403,57
SKU0002,SKU0022,0.049901,0.013494,0.000152,0.003048,0.225882,46
SKU0002,SKU0045,0.049901,0.016324,0.000162,0.003247,0.198894,49
SKU0002,SKU0052,0.049901,0.012614,0.000122,0.002452,0.194355,37
SKU0002,SKU0039,0.049901,0.020533,0.000179,0.003578,0.174258,54
SKU0002,SKU0019,0.049901,0.012548,0.000109,0.002187,0.174258,33
SKU0002,SKU0026,0.049901,0.033742,0.000258,0.005168,0.153169,78
SKU0002,SKU0046,0.049901,0.019363,0.000145,0.002915,0.150571,44
SKU0002,SKU0037,0.049901,0.008131,6e-05,0.001193,0.146691,18
SKU0002,SKU0021,0.049901,0.020484,0.000145,0.002915,0.142331,44
SKU0002,SKU0032,0.049901,0.035862,0.000251,0.005036,0.140421,76
SKU0002,SKU0059,0.049901,0.006481,4.3e-05,0.000861,0.132916,13
SKU0002,SKU0036,0.049901,0.008524,5.3e-05,0.00106,0.124373,16
SKU0002,SKU0001,0.049901,0.009,5e-05,0.000994,0.110431,15
SKU0002,SKU0048,0.049901,0.010528,5.3e-05,0.00106,0.100702,16
SKU0006,SKU0027,0.049908,0.049736,0.002586,0.051809,1.041677,782
SKU0006,SKU0041,0.049908,0.049749,0.002543,0.050947,1.024088,769
SKU0006,SKU0038,0.049908,0.049878,0.002546,0.051014,1.022769,770
SKU0006,SKU0002,0.049908,0.049901,0.002516,0.050417,1.010345,761
SKU0006,SKU0015,0.049908,0.050377,0.002477,0.049622,0.985015,749
SKU0006,SKU0010,0.049908,0.049938,0.002391,0.0479,0.959195,723
SKU0006,SKU0017,0.049908,0.013924,0.000536,0.010733,0.770836,162
SKU0006,SKU0049,0.049908,0.04999,0.001871,0.037498,0.750111,566
SKU0006,SKU0042,0.049908,0.016893,0.000552,0.011064,0.654957,167
