SKU_ID,Sub_Category,ABC_Class,granularity_level,granularity_value,total_revenue,total_margin,support_in_group,avg_lift,basket_dependency_score,substitution_score,abc_signal,revenue_signal,margin_signal,support_signal,lift_signal,dependency_signal,substitution_signal,delist_score,SalesIndex,MarginIndex,VelocityIndex,InventoryEfficiency,GMROI,SentimentIndex,MarketStrengthIndex,Forecasted_Sales,Forecast_Growth_Pct,Trend_Direction,Forecast_Confidence,Health_Score,Health_Band,Delist_Band,GMROI_Band,Forecast_Band,Basket_Role,Recapture_Potential,Cannibalization_Risk,Decision,Decision_Reason,Recommended_Action,Recommendation_Narrative
SKU0004,Treatment,C,Channel,Offline,19743.63,4321.63,0.000918,1.0,0,0.0,1.0,0.9333,0.9333,0.9833,0.1167,0.4917,0.275,0.7592,0.2101,0.9558,46.663,0.3775,13.0761,0.0998,0.4841,389504.5,0.36,Stable,0.332,0.1876,LOW_HEALTH,HIGH_DELIST,MID_GMROI,FLAT,Solo,0.0,0.0,DELIST,"LOW_HEALTH health (0.19), MID_GMROI GMROI, flat forecast (+0.4%), and HIGH_DELIST delist score (0.76) all confirm removal viability.",Remove from planogram at next reset. Cancel open purchase orders. Reallocate shelf space and procurement budget to higher-performing SKUs.,"PureMane Anti Hair Fall Treatment 200ml demonstrates weak commercial performance across multiple dimensions in Treatment within Channel 'Offline': health score 0.19, GMROI 13, forecast growth +0.4%, and a delist score of 0.76. Its 'Solo' basket role generates minimal co-purchase dependency, and limited direct substitutes were identified — verify recapture plan. Customer sentiment (0.10) and market strength (0.48) offer no mitigating signal strong enough to justify continued assortment inclusion. Recommend removing this SKU at the next planogram reset and reallocating shelf space and procurement budget toward higher-performing alternatives."
SKU0005,Treatment,C,Channel,Offline,14911.93,2415.58,0.001771,1.0,0,0.0,1.0,0.9833,0.9833,0.8,0.1167,0.4917,0.275,0.7517,0.1587,0.7074,42.6833,0.3817,8.2508,0.6621,0.3376,393431.57,2.26,Upward,0.3473,0.1953,LOW_HEALTH,HIGH_DELIST,MID_GMROI,FLAT,Solo,0.0,0.0,DELIST,"LOW_HEALTH health (0.20), MID_GMROI GMROI, flat forecast (+2.3%), and HIGH_DELIST delist score (0.75) all confirm removal viability.",Remove from planogram at next reset. Cancel open purchase orders. Reallocate shelf space and procurement budget to higher-performing SKUs.,"Lustra Botanix Herbal Treatment 150ml demonstrates weak commercial performance across multiple dimensions in Treatment within Channel 'Offline': health score 0.20, GMROI 8, forecast growth +2.3%, and a delist score of 0.75. Its 'Solo' basket role generates minimal co-purchase dependency, and limited direct substitutes were identified — verify recapture plan. Customer sentiment (0.66) and market strength (0.34) offer no mitigating signal strong enough to justify continued assortment inclusion. Recommend removing this SKU at the next planogram reset and reallocating shelf space and procurement budget toward higher-performing alternatives."
SKU0043,Treatment,C,Channel,Offline,19136.06,5207.86,0.001146,1.0,0,0.0,1.0,0.95,0.9,0.95,0.1167,0.4917,0.275,0.7508,0.2037,1.1884,44.1696,0.2762,16.5153,0.6305,0.2182,379111.15,2.29,Upward,0.4143,0.2149,MID_HEALTH,HIGH_DELIST,MID_GMROI,FLAT,Solo,0.0,0.0,PHASE_OUT,"Sharp forecast decline (+2.3%), MID_HEALTH health (0.21), and HIGH_DELIST delist signal (0.75) indicate an unsustainable commercial trajectory.",Reduce shelf facings by ~50% at next planogram reset. Discontinue promotional support. Notify supply chain of planned exit.,"SilkenAura Rosemary Treatment 300ml is on a declining commercial trajectory in Treatment within Channel 'Offline'. Health score of 0.21 and forecast growth of +2.3% indicate sustained deterioration that is unlikely to reverse organically. GMROI of 17 no longer justifies continued full-range support, while a delist score of 0.75 signals growing pressure for rationalization. Recommend initiating a phased exit: reduce shelf facings by approximately 50% at the next planogram reset, discontinue promotional support, and notify the supply chain of the planned deactivation timeline to minimize write-off exposure."
SKU0030,Treatment,C,Channel,Offline,15139.43,3282.23,0.00209,1.0,0,0.0,1.0,0.9667,0.9667,0.7833,0.1167,0.4917,0.275,0.7425,0.1611,0.9467,48.6479,0.3493,13.4664,0.7568,0.3906,379132.43,2.67,Upward,0.3934,0.256,MID_HEALTH,HIGH_DELIST,MID_GMROI,FLAT,Solo,0.0,0.0,PHASE_OUT,"Sharp forecast decline (+2.7%), MID_HEALTH health (0.26), and HIGH_DELIST delist signal (0.74) indicate an unsustainable commercial trajectory.",Reduce shelf facings by ~50% at next planogram reset. Discontinue promotional support. Notify supply chain of planned exit.,"GlossRoot Anti Dandruff Treatment 250ml is on a declining commercial trajectory in Treatment within Channel 'Offline'. Health score of 0.26 and forecast growth of +2.7% indicate sustained deterioration that is unlikely to reverse organically. GMROI of 13 no longer justifies continued full-range support, while a delist score of 0.74 signals growing pressure for rationalization. Recommend initiating a phased exit: reduce shelf facings by approximately 50% at the next planogram reset, discontinue promotional support, and notify the supply chain of the planned deactivation timeline to minimize write-off exposure."
SKU0003,Hair Color,C,Channel,Offline,22457.8,5751.67,0.001133,1.0,0,0.0,1.0,0.9,0.8833,0.9667,0.1167,0.4917,0.275,0.74,0.0074,0.8787,102.9821,0.7234,35.4552,0.5793,0.2595,387234.32,-0.58,Stable,0.3259,0.1991,LOW_HEALTH,HIGH_DELIST,HIGH_GMROI,FLAT,Solo,0.0,0.0,DELIST,"LOW_HEALTH health (0.20), HIGH_GMROI GMROI, flat forecast (-0.6%), and HIGH_DELIST delist score (0.74) all confirm removal viability.",Remove from planogram at next reset. Cancel open purchase orders. Reallocate shelf space and procurement budget to higher-performing SKUs.,"VitalStrand Anti Hair Fall Hair Color 250ml demonstrates weak commercial performance across multiple dimensions in Hair Color within Channel 'Offline': health score 0.20, GMROI 35, forecast growth -0.6%, and a delist score of 0.74. Its 'Solo' basket role generates minimal co-purchase dependency, and limited direct substitutes were identified — verify recapture plan. Customer sentiment (0.58) and market strength (0.26) offer no mitigating signal strong enough to justify continued assortment inclusion. Recommend removing this SKU at the next planogram reset and reallocating shelf space and procurement budget toward higher-performing alternatives."
SKU0053,Treatment,C,Channel,Offline,24946.37,3638.4,0.001394,1.0,0,0.0,1.0,0.8667,0.95,0.9,0.1167,0.4917,0.275,0.7367,0.2655,0.6369,64.499,0.5022,11.0134,0.3158,0.4179,377364.82,0.12,Stable,0.428,0.1724,LOW_HEALTH,HIGH_DELIST,MID_GMROI,FLAT,Solo,0.0,0.0,DELIST,"LOW_HEALTH health (0.17), MID_GMROI GMROI, flat forecast (+0.1%), and HIGH_DELIST delist score (0.74) all confirm removal viability.",Remove from planogram at next reset. Cancel open purchase orders. Reallocate shelf space and procurement budget to higher-performing SKUs.,"Revynce Keratin Treatment 250ml demonstrates weak commercial performance across multiple dimensions in Treatment within Channel 'Offline': health score 0.17, GMROI 11, forecast growth +0.1%, and a delist score of 0.74. Its 'Solo' basket role generates minimal co-purchase dependency, and limited direct substitutes were identified — verify recapture plan. Customer sentiment (0.32) and market strength (0.42) offer no mitigating signal strong enough to justify continued assortment inclusion. Recommend removing this SKU at the next planogram reset and reallocating shelf space and procurement budget toward higher-performing alternatives."
SKU0034,Hair Oil,C,Channel,Offline,22881.97,4735.69,0.001706,1.0,0,0.0,1.0,0.8833,0.9167,0.8167,0.1167,0.4917,0.275,0.7208,0.0963,0.8498,62.5685,0.4061,16.3287,0.5504,0.5705,381079.63,2.55,Upward,0.3982,0.2693,MID_HEALTH,HIGH_DELIST,MID_GMROI,FLAT,Solo,0.0,0.0,PHASE_OUT,"Sharp forecast decline (+2.5%), MID_HEALTH health (0.27), and HIGH_DELIST delist signal (0.72) indicate an unsustainable commercial trajectory.",Reduce shelf facings by ~50% at next planogram reset. Discontinue promotional support. Notify supply chain of planned exit.,"NourishLab Keratin Hair Oil 300ml is on a declining commercial trajectory in Hair Oil within Channel 'Offline'. Health score of 0.27 and forecast growth of +2.5% indicate sustained deterioration that is unlikely to reverse organically. GMROI of 16 no longer justifies continued full-range support, while a delist score of 0.72 signals growing pressure for rationalization. Recommend initiating a phased exit: reduce shelf facings by approximately 50% at the next planogram reset, discontinue promotional support, and notify the supply chain of the planned deactivation timeline to minimize write-off exposure."
SKU0047,Treatment,C,Channel,Offline,21651.66,6147.38,0.001504,1.0,0,0.0,1.0,0.9167,0.8167,0.85,0.1167,0.4917,0.275,0.7125,0.2304,1.2398,110.9144,0.5084,43.9771,0.4772,0.3965,375694.64,2.09,Upward,0.4151,0.279,MID_HEALTH,HIGH_DELIST,HIGH_GMROI,FLAT,Solo,0.0,0.0,PHASE_OUT,"Sharp forecast decline (+2.1%), MID_HEALTH health (0.28), and HIGH_DELIST delist signal (0.71) indicate an unsustainable commercial trajectory.",Reduce shelf facings by ~50% at next planogram reset. Discontinue promotional support. Notify supply chain of planned exit.,"GlossRoot Damage Repair Treatment 300ml is on a declining commercial trajectory in Treatment within Channel 'Offline'. Health score of 0.28 and forecast growth of +2.1% indicate sustained deterioration that is unlikely to reverse organically. GMROI of 44 no longer justifies continued full-range support, while a delist score of 0.71 signals growing pressure for rationalization. Recommend initiating a phased exit: reduce shelf facings by approximately 50% at the next planogram reset, discontinue promotional support, and notify the supply chain of the planned deactivation timeline to minimize write-off exposure."
SKU0018,Hair Serum,C,Channel,Offline,94272.3,20655.08,0.005887,0.4391,0,0.4,1.0,0.6667,0.7,0.7167,0.7333,0.4917,0.575,0.7108,0.0326,0.9837,92.3245,0.4167,25.9038,0.1942,0.4186,374048.6,2.07,Upward,0.2945,0.1959,LOW_HEALTH,HIGH_DELIST,HIGH_GMROI,FLAT,Solo,0.4,0.0,DELIST,"LOW_HEALTH health (0.20), HIGH_GMROI GMROI, flat forecast (+2.1%), and HIGH_DELIST delist score (0.71) all confirm removal viability.",Remove from planogram at next reset. Cancel open purchase orders. Reallocate shelf space and procurement budget to higher-performing SKUs.,"PureMane Damage Repair Hair Serum 650ml demonstrates weak commercial performance across multiple dimensions in Hair Serum within Channel 'Offline': health score 0.20, GMROI 26, forecast growth +2.1%, and a delist score of 0.71. Its 'Solo' basket role generates minimal co-purchase dependency, and 40% of same-sub-category peers are confirmed substitutes available to absorb displaced demand. Customer sentiment (0.19) and market strength (0.42) offer no mitigating signal strong enough to justify continued assortment inclusion. Recommend removing this SKU at the next planogram reset and reallocating shelf space and procurement budget toward higher-performing alternatives."
SKU0035,Hair Oil,C,Channel,Offline,28972.01,6042.83,0.00168,1.0,0,0.0,1.0,0.85,0.8667,0.8333,0.1167,0.4917,0.275,0.7067,0.1219,0.8565,99.1718,0.4454,26.136,0.2804,0.5292,381003.69,3.59,Upward,0.402,0.2329,MID_HEALTH,HIGH_DELIST,HIGH_GMROI,GROWTH,Solo,0.0,0.0,INVESTIGATE,Conflicting signals: MID_HEALTH health vs HIGH_GMROI GMROI and positive forecast growth (+3.6%). Basket role 'Solo' adds ambiguity. Manual review required before action.,Escalate to category review team. Conduct deep-dive on GMROI drivers and basket contribution before next planogram action.,"Lustra Botanix Smoothening Hair Oil 100ml (C-class Hair Oil) within Channel 'Offline' presents conflicting performance signals that require manual category review: positive growth forecast against elevated delist pressure. Key metrics — health: 0.23, GMROI: 26, forecast growth: +3.6%, market strength: 0.53 — do not align to a clear commercial decision. Standard rule-based classification is insufficient to resolve this SKU's status. Recommend escalating to the category review team for a structured deep-dive before the next planogram reset."
