Year_WK,Store_ID,SKU_ID,Quantity_Sold,Quantity_Available
2025-22,ST01,SKU0001,0,66
2025-23,ST01,SKU0001,6,33
2025-24,ST01,SKU0001,8,127
2025-25,ST01,SKU0001,1,97
2025-26,ST01,SKU0001,8,65
2025-27,ST01,SKU0001,14,32
2025-28,ST01,SKU0001,3,133
2025-29,ST01,SKU0001,6,99
2025-30,ST01,SKU0001,7,61
2025-31,ST01,SKU0001,3,25
2025-32,ST01,SKU0001,5,117
2025-33,ST01,SKU0001,7,82
2025-34,ST01,SKU0001,0,47
2025-35,ST01,SKU0001,7,11
2025-36,ST01,SKU0001,8,97
2025-37,ST01,SKU0001,0,64
2025-38,ST01,SKU0001,15,29
2025-39,ST01,SKU0001,6,140
2025-40,ST01,SKU0001,4,107
2025-41,ST01,SKU0001,8,74
2025-42,ST01,SKU0001,3,39
2025-43,ST01,SKU0001,4,5
2025-44,ST01,SKU0001,0,98
2025-45,ST01,SKU0001,9,65
2025-46,ST01,SKU0001,1,31
2025-47,ST01,SKU0001,6,128
2025-48,ST01,SKU0001,0,94
2025-49,ST01,SKU0001,6,57
2025-50,ST01,SKU0001,2,21
2025-51,ST01,SKU0001,2,103
2025-52,ST01,SKU0001,30,67
2026-01,ST01,SKU0001,8,34
2026-02,ST01,SKU0001,18,2
2026-03,ST01,SKU0001,31,106
2026-04,ST01,SKU0001,75,70
2026-05,ST01,SKU0001,46,36
2026-06,ST01,SKU0001,23,7
2026-07,ST01,SKU0001,14,114
2026-08,ST01,SKU0001,3,136
2026-09,ST01,SKU0001,5,102
2026-10,ST01,SKU0001,23,67
2026-11,ST01,SKU0001,25,32
2026-12,ST01,SKU0001,12,126
2026-13,ST01,SKU0001,38,89
2026-14,ST01,SKU0001,55,53
2026-15,ST01,SKU0001,82,19
2026-16,ST01,SKU0001,56,111
2026-17,ST01,SKU0001,15,76
2026-18,ST01,SKU0001,25,42
2026-19,ST01,SKU0001,30,3
2026-20,ST01,SKU0001,51,97
2026-21,ST01,SKU0001,79,63
2026-22,ST01,SKU0001,59,25
2025-22,ST01,SKU0002,65,1014
2025-23,ST01,SKU0002,289,654
2025-24,ST01,SKU0002,498,277
2025-25,ST01,SKU0002,209,1749
2025-26,ST01,SKU0002,223,1360
2025-27,ST01,SKU0002,497,967
2025-28,ST01,SKU0002,448,560
2025-29,ST01,SKU0002,185,189
2025-30,ST01,SKU0002,292,1683
2025-31,ST01,SKU0002,371,1308
2025-32,ST01,SKU0002,226,956
2025-33,ST01,SKU0002,624,546
2025-34,ST01,SKU0002,301,176
2025-35,ST01,SKU0002,274,1602
2025-36,ST01,SKU0002,279,1191
2025-37,ST01,SKU0002,601,829
2025-38,ST01,SKU0002,331,493
2025-39,ST01,SKU0002,295,121
2025-40,ST01,SKU0002,224,1452
2025-41,ST01,SKU0002,444,1044
2025-42,ST01,SKU0002,545,664
2025-43,ST01,SKU0002,429,239
2025-44,ST01,SKU0002,364,1699
2025-45,ST01,SKU0002,346,1318
2025-46,ST01,SKU0002,326,934
2025-47,ST01,SKU0002,460,504
2025-48,ST01,SKU0002,322,91
2025-49,ST01,SKU0002,311,1448
2025-50,ST01,SKU0002,312,1046
2025-51,ST01,SKU0002,401,655
2025-52,ST01,SKU0002,313,264
2026-01,ST01,SKU0002,193,1728
2026-02,ST01,SKU0002,603,1097
2026-03,ST01,SKU0002,428,432
2026-04,ST01,SKU0002,374,46
2026-05,ST01,SKU0002,348,1559
2026-06,ST01,SKU0002,330,379
2026-07,ST01,SKU0002,417,621
2026-08,ST01,SKU0002,604,228
2026-09,ST01,SKU0002,410,381
2026-10,ST01,SKU0002,251,1716
2026-11,ST01,SKU0002,259,315
2026-12,ST01,SKU0002,374,1704
2026-13,ST01,SKU0002,423,1325
2026-14,ST01,SKU0002,457,919
2026-15,ST01,SKU0002,341,523
2026-16,ST01,SKU0002,617,1270
2026-17,ST01,SKU0002,356,899
2026-18,ST01,SKU0002,340,547
2026-19,ST01,SKU0002,242,127
2026-20,ST01,SKU0002,297,717
2026-21,ST01,SKU0002,498,1219
2026-22,ST01,SKU0002,336,840
2025-22,ST01,SKU0003,1,5
2025-23,ST01,SKU0003,3,14
2025-24,ST01,SKU0003,1,5
2025-25,ST01,SKU0003,1,15
2025-26,ST01,SKU0003,3,6
2025-27,ST01,SKU0003,1,15
2025-28,ST01,SKU0003,1,6
2025-29,ST01,SKU0003,0,15
2025-30,ST01,SKU0003,0,6
2025-31,ST01,SKU0003,0,14
2025-32,ST01,SKU0003,0,5
2025-33,ST01,SKU0003,4,13
2025-34,ST01,SKU0003,2,4
2025-35,ST01,SKU0003,3,15
2025-36,ST01,SKU0003,0,7
2025-37,ST01,SKU0003,1,15
2025-38,ST01,SKU0003,1,6
2025-39,ST01,SKU0003,3,14
2025-40,ST01,SKU0003,2,5
2025-41,ST01,SKU0003,0,13
2025-42,ST01,SKU0003,0,5
2025-43,ST01,SKU0003,0,15
2025-44,ST01,SKU0003,0,6
2025-45,ST01,SKU0003,5,17
2025-46,ST01,SKU0003,1,8
2025-47,ST01,SKU0003,1,17
2025-48,ST01,SKU0003,0,8
2025-49,ST01,SKU0003,0,18
2025-50,ST01,SKU0003,0,9
2025-51,ST01,SKU0003,4,1
2025-52,ST01,SKU0003,0,11
2026-01,ST01,SKU0003,3,2
2026-02,ST01,SKU0003,1,12
2026-03,ST01,SKU0003,7,4
2026-04,ST01,SKU0003,1,15
2026-05,ST01,SKU0003,7,6
2026-06,ST01,SKU0003,0,16
2026-07,ST01,SKU0003,9,13
2026-08,ST01,SKU0003,3,4
2026-09,ST01,SKU0003,17,13
2026-10,ST01,SKU0003,0,4
2026-11,ST01,SKU0003,1,14
2026-12,ST01,SKU0003,5,6
2026-13,ST01,SKU0003,1,15
2026-14,ST01,SKU0003,0,6
2026-15,ST01,SKU0003,20,14
2026-16,ST01,SKU0003,0,5
2026-17,ST01,SKU0003,9,16
2026-18,ST01,SKU0003,9,8
2026-19,ST01,SKU0003,4,17
2026-20,ST01,SKU0003,12,8
2026-21,ST01,SKU0003,1,16
2026-22,ST01,SKU0003,0,7
2025-22,ST01,SKU0004,0,0
2025-23,ST01,SKU0004,0,0
2025-24,ST01,SKU0004,0,0
2025-25,ST01,SKU0004,0,0
2025-26,ST01,SKU0004,0,0
2025-27,ST01,SKU0004,0,0
2025-28,ST01,SKU0004,0,0
2025-29,ST01,SKU0004,0,0
2025-30,ST01,SKU0004,0,0
2025-31,ST01,SKU0004,0,0
2025-32,ST01,SKU0004,0,0
2025-33,ST01,SKU0004,0,0
2025-34,ST01,SKU0004,0,0
2025-35,ST01,SKU0004,0,0
2025-36,ST01,SKU0004,0,0
2025-37,ST01,SKU0004,0,0
2025-38,ST01,SKU0004,0,0
2025-39,ST01,SKU0004,0,0
2025-40,ST01,SKU0004,0,0
2025-41,ST01,SKU0004,0,0
2025-42,ST01,SKU0004,0,0
2025-43,ST01,SKU0004,0,0
2025-44,ST01,SKU0004,0,0
2025-45,ST01,SKU0004,0,0
2025-46,ST01,SKU0004,0,0
2025-47,ST01,SKU0004,0,0
2025-48,ST01,SKU0004,0,0
2025-49,ST01,SKU0004,0,0
2025-50,ST01,SKU0004,0,0
2025-51,ST01,SKU0004,0,0
2025-52,ST01,SKU0004,0,0
2026-01,ST01,SKU0004,0,0
2026-02,ST01,SKU0004,0,0
2026-03,ST01,SKU0004,0,0
2026-04,ST01,SKU0004,6,0
2026-05,ST01,SKU0004,0,0
2026-06,ST01,SKU0004,17,0
2026-07,ST01,SKU0004,10,0
2026-08,ST01,SKU0004,6,0
2026-09,ST01,SKU0004,0,0
2026-10,ST01,SKU0004,0,0
2026-11,ST01,SKU0004,3,0
2026-12,ST01,SKU0004,0,0
2026-13,ST01,SKU0004,0,0
2026-14,ST01,SKU0004,4,0
2026-15,ST01,SKU0004,47,0
2026-16,ST01,SKU0004,20,0
2026-17,ST01,SKU0004,19,0
2026-18,ST01,SKU0004,0,0
2026-19,ST01,SKU0004,0,0
2026-20,ST01,SKU0004,0,0
2026-21,ST01,SKU0004,0,0
2026-22,ST01,SKU0004,20,0
2025-22,ST01,SKU0005,0,0
2025-23,ST01,SKU0005,0,0
2025-24,ST01,SKU0005,0,0
2025-25,ST01,SKU0005,0,0
2025-26,ST01,SKU0005,0,0
2025-27,ST01,SKU0005,0,0
2025-28,ST01,SKU0005,0,0
2025-29,ST01,SKU0005,0,0
2025-30,ST01,SKU0005,0,0
2025-31,ST01,SKU0005,0,0
2025-32,ST01,SKU0005,0,0
2025-33,ST01,SKU0005,0,0
2025-34,ST01,SKU0005,0,0
2025-35,ST01,SKU0005,0,0
2025-36,ST01,SKU0005,0,0
2025-37,ST01,SKU0005,0,0
2025-38,ST01,SKU0005,0,0
2025-39,ST01,SKU0005,0,0
2025-40,ST01,SKU0005,0,0
2025-41,ST01,SKU0005,0,0
2025-42,ST01,SKU0005,0,0
2025-43,ST01,SKU0005,0,0
2025-44,ST01,SKU0005,0,0
2025-45,ST01,SKU0005,0,0
2025-46,ST01,SKU0005,0,0
2025-47,ST01,SKU0005,0,0
2025-48,ST01,SKU0005,0,0
2025-49,ST01,SKU0005,0,0
2025-50,ST01,SKU0005,0,0
2025-51,ST01,SKU0005,0,0
2025-52,ST01,SKU0005,0,0
2026-01,ST01,SKU0005,0,0
2026-02,ST01,SKU0005,3,0
2026-03,ST01,SKU0005,0,0
2026-04,ST01,SKU0005,7,0
2026-05,ST01,SKU0005,0,0
2026-06,ST01,SKU0005,30,0
2026-07,ST01,SKU0005,0,0
2026-08,ST01,SKU0005,0,0
2026-09,ST01,SKU0005,0,0
2026-10,ST01,SKU0005,0,0
2026-11,ST01,SKU0005,36,0
2026-12,ST01,SKU0005,0,0
2026-13,ST01,SKU0005,0,0
2026-14,ST01,SKU0005,0,0
2026-15,ST01,SKU0005,0,0
2026-16,ST01,SKU0005,7,0
2026-17,ST01,SKU0005,0,0
2026-18,ST01,SKU0005,0,0
2026-19,ST01,SKU0005,0,0
2026-20,ST01,SKU0005,0,0
2026-21,ST01,SKU0005,0,0
2026-22,ST01,SKU0005,0,0
2025-22,ST01,SKU0006,29,625
2025-23,ST01,SKU0006,546,241
2025-24,ST01,SKU0006,390,1203
2025-25,ST01,SKU0006,361,821
2025-26,ST01,SKU0006,325,405
2025-27,ST01,SKU0006,374,1337
2025-28,ST01,SKU0006,425,967
2025-29,ST01,SKU0006,307,590
2025-30,ST01,SKU0006,403,169
2025-31,ST01,SKU0006,395,1054
2025-32,ST01,SKU0006,691,678
2025-33,ST01,SKU0006,403,248
2025-34,ST01,SKU0006,367,1247
2025-35,ST01,SKU0006,460,851
2025-36,ST01,SKU0006,294,454
2025-37,ST01,SKU0006,291,53
2025-38,ST01,SKU0006,292,961
2025-39,ST01,SKU0006,488,605
2025-40,ST01,SKU0006,301,213
2025-41,ST01,SKU0006,319,1190
2025-42,ST01,SKU0006,581,787
2025-43,ST01,SKU0006,353,360
2025-44,ST01,SKU0006,355,1433
2025-45,ST01,SKU0006,273,1067
2025-46,ST01,SKU0006,420,661
2025-47,ST01,SKU0006,286,243
2025-48,ST01,SKU0006,270,1279
2025-49,ST01,SKU0006,358,891
2025-50,ST01,SKU0006,362,486
2025-51,ST01,SKU0006,668,93
2025-52,ST01,SKU0006,316,1126
2026-01,ST01,SKU0006,419,1440
2026-02,ST01,SKU0006,426,1055
2026-03,ST01,SKU0006,412,61
2026-04,ST01,SKU0006,372,1205
